이미지이름,이미지경로,링크주소,용도,블로그삽입,설명
image_benner_1.png,data/image/basic/image_benner_1.png,,,X,AI 기술과 셀프 상표출원 안내 배너 (썸네일 배경용)
image_benner_2.png,data/image/basic/image_benner_2.png,,,X,20년차 변리사 상표출원 안내 배너 (썸네일 배경용)
image_benner_3.png,data/image/basic/image_benner_3.png,,,X,변리사가 함께하는 상표등록 안내 배너 (썸네일 배경용)
image_benner_4.png,data/image/basic/image_benner_4.png,,,X,상표등록 대행 안내 배너 (썸네일 배경용)
image_mark_pick_1.png,data/image/basic/image_mark_pick_1.png,https://markpick.co.kr,서비스소개,O,왜 상표등록은 마크픽일까요? 5가지 이유 + 무료 3분 셀프출원 및 대행상담 버튼
image_mark_pick_2.png,data/image/basic/image_mark_pick_2.png,https://markpick.co.kr,서비스소개,O,브랜드를 자산으로 만들고 싶다면 상표부터 등록하세요 + 무료 상담 받기 버튼
image_mark_pick_3.png,data/image/basic/image_mark_pick_3.png,https://markpick.co.kr,서비스소개,O,내 상표 등록 가능할까? 유사상표 확인 안내 + 유사상표 확인 버튼
image_mark_pick_4.png,data/image/basic/image_mark_pick_4.png,https://markpick.co.kr,서비스소개,O,복잡한 절차 고민 실수 없이 전문가에게 맡기세요 + 20년 경력 변리사 출원 대행 버튼
image_mark_pick_detail.png,data/image/basic/image_mark_pick_detail.png,https://markpick.co.kr,서비스상세,O,마크픽 서비스 상세 — 합리적 비용(10만원) + 3~4개월 빠른 기간 + 가격표 + 셀프출원/대행 비교
image_mark_pick_call.png,data/image/basic/image_mark_pick_call.png,https://markpick.co.kr,문의유도,O,마크픽 전화 상담문의 070-4006-5379 + 20년 경력 변리사 직접 설계
image_mark_pick_kakao.png,data/image/basic/image_mark_pick_kakao.png,https://pf.kakao.com/_gBxjxjn/chat,카카오상담,O,마크픽 카카오톡 채널 바로가기 — 신속한 무료상담
image_mark_view_1.png,data/image/basic/image_mark_view_1.png,https://markview.co.kr,서비스소개,O,마크뷰 세부 기능 — 유사 상표 검색 + 등록/침해 가능성 체크 + AI 브랜드 네이밍
image_mark_view_2.png,data/image/basic/image_mark_view_2.png,https://markview.co.kr,서비스소개,O,마크뷰에서 검색하고 마크픽에서 등록까지 원스톱 상표 출원 — 앱 화면 3개
image_mark_pick_coupon.png,data/image/event/image_mark_pick_coupon.png,https://markpick.co.kr,할인쿠폰,O,블로그 문의 특별할인 10000원 쿠폰 — 상담 시 즉시 할인 적용
logo_markpick.png,data/image/basic/logo_markpick.png,,로고,X,마크픽 MARK PICK 로고 이미지 (썸네일 로고용)
